Loading data ...
Loaded dataset.shape = (93651, 1049)
Transpose dataset.shape = (1048, 93651)
Data loaded and ordered.

==================== Feature size = 50 ====================
Random forest and DQN initialising ...   done.
Pre-processing data ...   done.
Representation learning ...   done.
One hot encoding data ...   done.

140/1000: r = 0.79, accuracy = 88.57%
141/1000: r = 0.69, accuracy = 88.57%
142/1000: r = 0.79, accuracy = 88.57%
143/1000: r = 0.72, accuracy = 88.57%
144/1000: r = 0.72, accuracy = 88.57%
145/1000: r = 0.72, accuracy = 86.67%
146/1000: r = 0.71, accuracy = 86.67%
147/1000: r = 0.72, accuracy = 86.67%
148/1000: r = 0.66, accuracy = 86.67%
149/1000: r = 0.72, accuracy = 86.67%
150/1000: r = 0.73, accuracy = 86.67%
151/1000: r = 0.74, accuracy = 89.52%
152/1000: r = 0.65, accuracy = 85.71%
153/1000: r = 0.70, accuracy = 86.67%
154/1000: r = 0.69, accuracy = 85.71%
155/1000: r = 0.66, accuracy = 85.71%
156/1000: r = 0.71, accuracy = 85.71%
157/1000: r = 0.75, accuracy = 85.71%
158/1000: r = 0.72, accuracy = 84.76%
159/1000: r = 0.70, accuracy = 85.71%
160/1000: r = 0.66, accuracy = 86.67%
161/1000: r = 0.75, accuracy = 84.76%
162/1000: r = 0.62, accuracy = 84.76%
163/1000: r = 0.70, accuracy = 86.67%
164/1000: r = 0.76, accuracy = 86.67%
165/1000: r = 0.67, accuracy = 86.67%
166/1000: r = 0.74, accuracy = 85.71%
167/1000: r = 0.67, accuracy = 85.71%
168/1000: r = 0.69, accuracy = 85.71%
169/1000: r = 0.73, accuracy = 85.71%
170/1000: r = 0.75, accuracy = 84.76%
171/1000: r = 0.69, accuracy = 84.76%
172/1000: r = 0.73, accuracy = 86.67%
173/1000: r = 0.73, accuracy = 86.67%
174/1000: r = 0.75, accuracy = 86.67%
175/1000: r = 0.70, accuracy = 86.67%
176/1000: r = 0.68, accuracy = 84.76%
177/1000: r = 0.70, accuracy = 85.71%
178/1000: r = 0.70, accuracy = 85.71%
179/1000: r = 0.75, accuracy = 85.71%
180/1000: r = 0.74, accuracy = 85.71%
181/1000: r = 0.79, accuracy = 86.67%
182/1000: r = 0.72, accuracy = 86.67%
183/1000: r = 0.70, accuracy = 84.76%
184/1000: r = 0.74, accuracy = 85.71%
185/1000: r = 0.69, accuracy = 85.71%
186/1000: r = 0.70, accuracy = 85.71%
187/1000: r = 0.65, accuracy = 84.76%
188/1000: r = 0.66, accuracy = 84.76%
189/1000: r = 0.65, accuracy = 84.76%
190/1000: r = 0.76, accuracy = 84.76%
191/1000: r = 0.65, accuracy = 84.76%
192/1000: r = 0.75, accuracy = 84.76%
193/1000: r = 0.68, accuracy = 84.76%
194/1000: r = 0.68, accuracy = 84.76%
195/1000: r = 0.70, accuracy = 84.76%
196/1000: r = 0.70, accuracy = 85.71%
197/1000: r = 0.71, accuracy = 85.71%
